TWEETS,CLASS
"one person followed me // automatically checked by http',",0
" ""Hi Varun! Sorry for the inconvenience. Please share the ticket ID, we'll escalate this internally. If you haven't reached out to us yet, please reach out to us via http with all the details. It will help our team look into it. Thanks!"",",0
" '3 people followed me and 2 people unfollowed me // automatically checked by http',",0
" 'I LOVE YOU MORE 🤪❤️',",0
" 'Busting #TBADNBoycottMZETxAPT116',",0
"By this tweet',",0
" 'I need binoculars to see that',",0
" 'He doesn’t and you don’t like him either',",0
" 'Friendly then dissapeared😕\U0001f972',",0
" 'and what if we get ot8 content later?',",0
" 'Motor Vehicle Accident | E CAMP WISDOM RD / S LANCASTER RD | EN25; RE25 | 250308 | 01:43 | B | http',",0
" ""That is a two way street, sister. Same to you. And I have faith in you all the way. Never for a second thought you'd stop. You're too badass, my friend."",",0
" 'Is twitter ban in future?',",0
" ""Euro 2020 tickets: how to get seats at England's potential semi-final and final \n\nNow football is coming home, you may be wondering: how can I get Euro 2020 tickets? -&gt; http #Euros2021 #EURO2021 #England #ENG\xa0\xa0\xa0 #EnglandvGermany #EURO2020\xa0\xa0#eurotickets #Wembley"",",0
" 'omg congrats!! 🥳',",0
" ""Declare president rule in all such state and let the military do it's work before it to late"",",0
" 'Same ✋🏻',",0
" 'Congratulations! Thank you for choosing the M over S!',",0
" 'Like, REALLY likes them',",0
" ""Hi! I'm 4nnayi. 14 yrs old. Filipino writer, and a reader."",",0
" 'Thanks haha',",0
"Ok on me way',",0
" 'I was stuck like😳🤯',",0
" 'Supporting friends that support me &gt;&gt;&gt;&gt;&gt;✊🏽❤️.',",0
"BB, Luvity ~',",0
" 'it’s the way randoms are finding this and not getting who the first picture is of, that’s my very good friend miss cindy duh',",0
" 'Haje bubble for the 1st time after hiatus 😫😭\n\nThat just ""mwohae"" but 😭',",0
" ""I think it's because at a lower level, Ram is definitely easier to deal with, as lower level and casual Ram players seem to not use any toolkit management or anything to the extent that they can. At high level, I think Ram is crazy, but not at lower casual levels compared to Sol."",",0
" 'Tak amin sing banter 🤣🤣',",0
"not enough aquarius',",0
" 'childe we are literally making out right now',",0
" ""Greek style? We all know the Greeks don't know how to make coffee!"",",1
" 'Except it could have been this for the whole assignment 😂😂 so disorder yake yaipedzisira yatone order😂😂',",0
" 'i had a great taeyong holiday',",0
" 'Been awake all night trying to do a mugged off/chugged off joke but have had to conclude that chugged off sounds like something else entirely.',",0
" ""We were lied to. We'll be in permanent lockdown soon.\nRemember what else we were told...\n2 weeks to flatten the curve\nJust another few weeks\nJust until we get the vulnerable vaccinated\n\nNow a spiral of variants and boosters.\nFreedoms are not given back they are taken back"",",0
" 'There may be a political angle to this considering he is heading a revolutionary idea in a political setup ! Can’t  remember though the name of his party! Nevertheless, it ain’t good !',",0
" 'Keeping Abscbn is like hugging your worst enemy',",0
" 'Who doesn’t dream of a golden parachute?',",0
" 'i need some cowgirl boots 🥺',",0
" 'genuinely a fun thing to see!',",0
" 'omo ily too &lt;3',",0
" ""Right let's see what BTS related stuff I missed yesterday hahah"",",0
" ""hey y'all should follow @user they're so cute and sexy🔥🔥🔥""",0
 'True words!',0
" '10 people followed me // automatically checked by http',",0
" '🎾Tennis – Grand Slam, 🇬🇧Great Britain, Wimbledon, London, Outdoor Grass. Thursday, 01st July 2021, Mens 2nd Round (Round of 64) http',",0
" 'Yeah. Males-of-the-species do tend to feel good about themselves when they pick on a woman. 🙄',
",0
" 'I’ll be 31 when it releases mind you I was 19 when V released',",0
" 'Yes he was kidnapped and must be released immediately',",0
"Okay well that’s a use of your time that is very good. Getting Joe Kent into congress is our top priority! Along with JD!',",0
" '🔥 BIG PROJECT NFTMARS  🔥\n#MOONPAD \n#IDOlaunchpad \n#MARStoken\n\nTelegram group:\nhttp\n\n🚀 Future of virtual world, create, explore and build your virtual world now\n\n🚀 NFTMars is an NFT platform where you can own a ""land"" to build your own city.',",0
" 'Ayrton is a superstar in the making. But CP3’s game today was a virtuoso.',",0
" '“We are exploring opportunities around blockchain technology and its transformative and disruptive capabilities,” Point72 said in a May letter to investors seen by Bloomberg. “We would be remiss to ignore a now $2 trillion crypto currency market.”\n\nhttp',",0
" 'This is why I couldn’t cheer too loud for the drag',",0
" 'You know what’s wowed going under every tweet complimenting nengi and constituting a nuisance. That’s big big weird. Admit it y’all you love her too 😉',",0
" '3 of 5 stars to Heartless by Gena Showalter http',",0
" 'Wait that makes sense',",0
" ""Minho comments on his friends' posts but doesn't follow anyone pfff you lurker"",",1
" 'MY FRIEND AND I ARE SLEEPING TOGETHER AND SHE JUST OUT HER ARM AROUND ME EKENWM AKAJQNA A  wöakw HELP',",0
" 'Now playing Claude Righi - Changement De Main.mp3 by ! Listen here http or on http! Stay cheesy!',",0
" ""It's JULY77 not JULY777"",",0
" '#DigitalIndia \nDuring his 74th Independence Day address, PM Modi set a target to provide optical fibre connectivity to all villages. From 2014-2020, nearly 1.5 lakh gram panchayats in the country have been connected.',",0
" 'Defense form Deoxys is coming to raids! Join our discord server for help on raids, pvp, giveaways, and more!\nhttp \n#PokemonGO #PokemonGoRaid #PokemonGoRaids #PokemonGoFriendCode #PokemonGoFriendsCode #Deoxys #PokemonGoFriends #PokemonGoAustralia #ポケモンGO',",0
" 'one person followed me // automatically checked by http',",0
" 'Great achievement! Congrats @user !',",0
" 'Facts brotha',",0
" ""I guess I get it. I think I'm mainly angry because it is poorly enforced but they have signs up everywhere. Not sure if they actually outlawed the sale in *every* county this time but that bugs me, illegal in one, legal in the county *literally* 10min away"",",0
" 'This is why women don’t like #you',",1
"totally, but I think many could argue that you don\'t gain much by using that jargon-y word instead of saying ""Animal species often display variation in body size across latitudinal transects, being larger near the poles and smaller near the equator""',",0
" 'Exactly.',",0
" ""Yeah I mentioned the Wong thing. That's because men have to be careful how they walk or certain things smash together and it... freaking hurts! Trust me. That's all I was saying. We obviously disagree on things but I'm cool with that. I'm not gonna be mean to you or anything."",",0
" 'Favourite Liam song?',",0
" ""Women's right to vote is sex based it's been globally/historically denied on the basis of our sex. Just because you want to re-write history to pretend that denial wasn't sealed from the moment our sex was observed and recorded it doesn't make it so. \nhttp"",",0
" 'Pprt amg',",0
" 'Every time I say let’s save up..\n\nBut this is worth it!!! \nGood luck next month ☺️',",0
 'watching new shinee it’s literally so cute they r in their element with fresh concepts ^__^',0
